Query#,Query,Type,Side,Call#,Model,A2_SP_fixed,B1_USER_md,B1_MEMORY_md,B1_privacy,B1_DEVICE_INFO,B1_total,C2_in_SP,C2_in_UM,C2_total,A1_Tools,SP_total,C1_Query,UAT_history,input,cache_read,actual,hit_pct
Q8,我有个好朋友闹别扭,chat,before,1,deepseek-ai/DeepSeek-V4-Flash-0731,28654,14,9,0,235,258,3154,0,3154,5806,32066,30,102,44094,24576,19518,55.7
Q8,我有个好朋友闹别扭,chat,after,1,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,3979,3979,5944,29851,30,5597,43188,0,43188,0.0
Q9,感觉他对我不好,chat,before,1,deepseek-ai/DeepSeek-V4-Flash-0731,28654,14,9,0,235,258,2802,0,2802,5806,31714,30,102,44094,24576,19518,55.7
Q9,感觉他对我不好,chat,after,1,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,3979,3979,5944,29851,30,5597,43188,0,43188,0.0
Q9,感觉他对我不好,chat,before,2,deepseek-ai/DeepSeek-V4-Flash-0731,28654,14,9,0,235,258,2802,0,2802,5806,31714,37,318,43206,24576,18630,56.9
Q9,感觉他对我不好,chat,after,2,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,5438,5438,5944,29851,37,5704,48474,40960,7514,84.5
Q9,感觉他对我不好,chat,before,3,deepseek-ai/DeepSeek-V4-Flash-0731,28654,14,9,0,235,258,2802,0,2802,5806,31714,26,615,38553,24576,13977,63.7
Q10,不和他玩了,chat,before,1,deepseek-ai/DeepSeek-V4-Flash-0731,28654,14,9,0,235,258,2808,0,2808,5806,31720,30,102,44094,24576,19518,55.7
Q10,不和他玩了,chat,after,1,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,3979,3979,5944,29851,30,5597,43188,0,43188,0.0
Q10,不和他玩了,chat,before,2,deepseek-ai/DeepSeek-V4-Flash-0731,28654,14,9,0,235,258,2808,0,2808,5806,31720,37,318,43206,24576,18630,56.9
Q10,不和他玩了,chat,after,2,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,5438,5438,5944,29851,37,5704,48474,40960,7514,84.5
Q10,不和他玩了,chat,before,3,deepseek-ai/DeepSeek-V4-Flash-0731,28654,14,9,0,235,258,2808,0,2808,5806,31720,26,615,38553,24576,13977,63.7
Q10,不和他玩了,chat,after,3,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,4511,4511,5944,29851,26,5969,52972,45056,7916,85.1
Q10,不和他玩了,chat,before,4,deepseek-ai/DeepSeek-V4-Flash-0731,28654,14,9,0,235,258,2808,0,2808,5806,31720,26,745,38677,36864,1813,95.3
Q11,自己玩自己的,chat,before,1,deepseek-ai/DeepSeek-V4-Flash-0731,28654,14,9,0,235,258,3068,0,3068,5806,31980,30,102,44094,24576,19518,55.7
Q11,自己玩自己的,chat,after,1,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,3979,3979,5944,29851,30,5597,43188,0,43188,0.0
Q11,自己玩自己的,chat,before,2,deepseek-ai/DeepSeek-V4-Flash-0731,28654,14,9,0,235,258,3068,0,3068,5806,31980,37,318,43206,24576,18630,56.9
Q11,自己玩自己的,chat,after,2,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,5438,5438,5944,29851,37,5704,48474,40960,7514,84.5
Q11,自己玩自己的,chat,before,3,deepseek-ai/DeepSeek-V4-Flash-0731,28654,14,9,0,235,258,3068,0,3068,5806,31980,26,615,38553,24576,13977,63.7
Q11,自己玩自己的,chat,after,3,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,4511,4511,5944,29851,26,5969,52972,45056,7916,85.1
Q11,自己玩自己的,chat,before,4,deepseek-ai/DeepSeek-V4-Flash-0731,28654,14,9,0,235,258,3068,0,3068,5806,31980,26,745,38677,36864,1813,95.3
Q11,自己玩自己的,chat,after,4,deepseek-ai/DeepSeek-V4-Flash-0731,28883,394,0,306,268,968,0,4830,4830,5944,29851,30,6226,57756,49152,8604,85.1
Q11,自己玩自己的,chat,before,5,deepseek-ai/DeepSeek-V4-Flash/Cluster-3,28654,14,9,0,235,258,3068,0,3068,5806,31980,30,912,38986,26624,12362,68.3
